book_id,search_key,book_title,book_subtitle,book_authors,book_publisher,book_description,industryIdentifiers,text_readingModes,image_readingModes,pageCount,categories,language,imageLinks,ratingsCount,averageRating,country,saleability,isEbook,amount_listPrice,currencyCode_listPrice,amount_retailPrice,currencyCode_retailPrice,buyLink,year
TS9IDAAAQBAJ,history,The History Book,Big Ideas Simply Explained,DK,Dorling Kindersley Ltd,"Travel thousands of years into our past and discover the significant events that shaped the world as we know it. From the founding of Baghdad, and the colonisation of the Americas, to the inception of Buddhism, The History Book highlights key ideas, themes, and events of world history without complicated jargon, just short, pithy explanations. Part of DK's award-winning Big Ideas educational series that uses witty graphics and engaging descriptions to enlighten readers. Don't stop at British history, explore the world! Full of fun facts from the human story, going as far back as the origins of our species to space exploration today. Discover all things revolution, from the French to the digital, including the rise of the internet. Short and sweet biographies of some of the most important thinkers and leaders throughout history, such as Martin Luther King Jr, Charles Darwin, and Nelson Mandela. You'll learn who said famous historical quotes, and what they really meant when they said it. Big Historic Events Simply Explained Modern twist on the good old-fashioned encyclopedia, now easier to follow, with diagrams, mind maps, and timelines. Step-by-step diagrams will have you reviewing your ideas about history. Start from the very beginning: - Human Origins 200,000 years ago - 3500 BGE - Ancient Civilisations 6000 BGE - 500 CE - The Medieval World 500 - 1492 - Early Modern Era 1420 - 1795 - Changing Societies 1776 - 1914 - The Modern World 1914 - Present The Series Simply Explained With over 7 million copies sold worldwide to date, The History Book is part of the award-winning Big Ideas series from DK Books. It uses innovative graphics along with engaging writing to make complex subjects easier to understand.","9780241282229, 0241282225",False,True,354,History,en,http://books.google.com/books/content?id=TS9IDAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,IN,NOT_FOR_SALE,False,,,,,,2016
LWNQ2_4wkocC,history,The Lessons of History,,"Will Durant, Ariel Durant",Simon and Schuster,"A concise survey of the culture and civilization of mankind, The Lessons of History is the result of a lifetime of research from Pulitzer Prize–winning historians Will and Ariel Durant. With their accessible compendium of philosophy and social progress, the Durants take us on a journey through history, exploring the possibilities and limitations of humanity over time. Juxtaposing the great lives, ideas, and accomplishments with cycles of war and conquest, the Durants reveal the towering themes of history and give meaning to our own.","9781439170199, 1439170193",True,False,117,History,en,http://books.google.com/books/content?id=LWNQ2_4wkocC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,IN,FOR_SALE,True,941.64,INR,470.82,INR,https://play.google.com/store/books/details?id=LWNQ2_4wkocC&rdid=book-LWNQ2_4wkocC&rdot=1&source=gbs_api,2012
I0MgEQAAQBAJ,history,U.S. History,,"P. Scott Corbett, Volker Janssen, John M. Lund, Todd Pfannestiel, Sylvie Waskiewicz, Paul Vickery",,"U.S. History is designed to meet the scope and sequence requirements of most introductory courses. The text provides a balanced approach to U.S. history, considering the people, events, and ideas that have shaped the United States from both the top down (politics, economics, diplomacy) and bottom up (eyewitness accounts, lived experience). U.S. History covers key forces that form the American experience, with particular attention to issues of race, class, and gender.",,True,True,1886,History,en,http://books.google.com/books/content?id=I0MgEQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,IN,FOR_SALE,True,201.42,INR,140.99,INR,https://play.google.com/store/books/details?id=I0MgEQAAQBAJ&rdid=book-I0MgEQAAQBAJ&rdot=1&source=gbs_api,2024
Xh4rAAAAIAAJ,history,What is History?,The George Macaulay Trevelyan Lectures Delivered in the University of Cambridge January-March 1961,Edward Hallett Carr,,"A philosophical interpretation of history, examining the significance of historical study as a science and a reflection of social values.",UCAL:B3831516,False,False,280,History,ja,http://books.google.com/books/content?id=Xh4rAAAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2,3.5,IN,NOT_FOR_SALE,False,,,,,,1962
CFiDCjMcnvcC,history,A Companion to the History of the Book,,"Simon Eliot, Jonathan Rose",John Wiley & Sons,"A COMPANION TO THE HISTORY OF THE BOOK A COMPANION TO THE HISTORY OF THE BOOK Edited by Simon Eliot and Jonathan Rose “As a stimulating overview of the multidimensional present state of the field, the Companion has no peer.” Choice “If you want to understand how cultures come into being, endure, and change, then you need to come to terms with the rich and often surprising history Of the book ... Eliot and Rose have done a fine job. Their volume can be heartily recommended. “ Adrian Johns, Technology and Culture From the early Sumerian clay tablet through to the emergence of the electronic text, this Companion provides a continuous and coherent account of the history of the book. A team of expert contributors draws on the latest research in order to offer a cogent, transcontinental narrative. Many of them use illustrative examples and case studies of well-known texts, conveying the excitement surrounding this rapidly developing field. The Companion is organized around four distinct approaches to the history of the book. First, it introduces the variety of methods used by book historians and allied specialists, from the long-established discipline of bibliography to newer IT-based approaches. Next, it provides a broad chronological survey of the forms and content of texts. The third section situates the book in the context of text culture as a whole, while the final section addresses broader issues, such as literacy, copyright, and the future of the book. Contributors to this volume: Michael Albin, Martin Andrews, Rob Banham, Megan L Benton, Michelle P. Brown, Marie-Frangoise Cachin, Hortensia Calvo, Charles Chadwyck-Healey, M. T. Clanchy, Stephen Colclough, Patricia Crain, J. S. Edgren, Simon Eliot, John Feather, David Finkelstein, David Greetham, Robert A. Gross, Deana Heath, Lotte Hellinga, T. H. Howard-Hill, Peter Kornicki, Beth Luey, Paul Luna, Russell L. Martin Ill, Jean-Yves Mollier, Angus Phillips, Eleanor Robson, Cornelia Roemer, Jonathan Rose, Emile G. L Schrijver, David J. Shaw, Graham Shaw, Claire Squires, Rietje van Vliet, James Wald, Rowan Watson, Alexis Weedon, Adriaan van der Weel, Wayne A. Wiegand, Eva Hemmungs Wirtén.","9781444356588, 1444356585",True,True,617,Literary Criticism,en,http://books.google.com/books/content?id=CFiDCjMcnvcC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,IN,FOR_SALE,True,7101.24,INR,7101.24,INR,https://play.google.com/store/books/details?id=CFiDCjMcnvcC&rdid=book-CFiDCjMcnvcC&rdot=1&source=gbs_api,2011
1QJ_AgAAQBAJ,history,An Introduction to Book History,,"David Finkelstein, Alistair McCleery",Routledge,"This is a comprehensive introduction to books and print culture which examines the move from the spoken word to written texts, the book as commodity, the power and profile of readers, and the future of the book in an electronic age.","9781134380060, 1134380062",True,True,167,Social Science,en,http://books.google.com/books/content?id=1QJ_AgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,IN,NOT_FOR_SALE,False,,,,,,2006
oxYfzgEACAAJ,history,The Natural History Book,,,,,"0241393345, 9780241393345",False,False,664,,en,http://books.google.com/books/content?id=oxYfzgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,IN,NOT_FOR_SALE,False,,,,,,2021
W7MAjwEACAAJ,history,The History Book,,Dorling Kindersley Publishing Staff,,"Learn about the origins of our species and all things revolution in The History Book. Part of the fascinating Big Ideas series, this book tackles tricky topics and themes in a simple and easy to follow format. Learn about History in this overview guide to the subject, brilliant for novices looking to find out more and experts wishing to refresh their knowledge alike! The History Book brings a fresh and vibrant take on the topic through eye-catching graphics and diagrams to immerse yourself in. This captivating book will broaden your understanding of History, with: - Easy to navigate step-by-step summaries that explain each historical theme - Packed with facts, charts, timelines and graphs to help explain core concepts - A visual approach to big subjects with striking illustrations and graphics throughout - Easy to follow text makes topics accessible for people at any level of understanding The History Book is a captivating introduction to the key events that have shaped society, from the dawn of civilization to the modern culture of today. Here you'll discover the stories of important historical events and turning points, and the leaders, thinkers, and heroes involved, through exciting text and bold graphics. Your History Questions, Simply Explained This book will outline big ideas, themes and events of world history, from the founding of Baghdad and the colonisation of the Americas, to the inception of Buddhism. If you thought it was difficult to learn about the milestones that have shaped civilization, The History Book presents key information in a clear layout. Here you'll learn about early humans, the empires of ancient history, the voyages of discovery to the tumultuous birth of nationalism, and the violence of two world wars. The Big Ideas Series With millions of copies sold worldwide, The History Book is part of the award-winning Big Ideas series from DK. The series uses striking graphics along with engaging writing, making big topics easy to understand.","0241225922, 9780241225929",False,False,0,History,en,http://books.google.com/books/content?id=W7MAjwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,IN,NOT_FOR_SALE,False,,,,,,2016
ZKwPBgAAQBAJ,history,The Cambridge Companion to the History of the Book,,Leslie Howsam,Cambridge University Press,"An accessible and wide-ranging study of the history of the book within local, national and global contexts.","9781107023734, 1107023734",False,True,301,Language Arts & Disciplines,en,http://books.google.com/books/content?id=ZKwPBgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,IN,NOT_FOR_SALE,False,,,,,,2015
W8yuDgAAQBAJ,history,World History 101,"From ancient Mesopotamia and the Viking conquests to NATO and WikiLeaks, an essential primer on world history",Tom Head,Simon and Schuster,"Uncover the mysteries of the past with this exciting, comprehensive guide on world history. History books are often filled with long descriptions, complex facts, and stories that can bore even the most enthusiastic history buffs. In World History 101 you’ll skip those tedious details and focus on engaging lessons that will impress any kind of historian. From Julius Caesar and Genghis Khan to the Cold War and globalization, each section takes you on an adventure through time to discover the most important moments in history and how they shaped civilization today. With hundreds of absorbing facts and trivia throughout, World History 101 can help you learn more about the civilizations of the past and help bring history to life.","9781507204559, 1507204558",True,False,256,History,en,http://books.google.com/books/content?id=W8yuDgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,IN,FOR_SALE,True,739.86,INR,369.93,INR,https://play.google.com/store/books/details?id=W8yuDgAAQBAJ&rdid=book-W8yuDgAAQBAJ&rdot=1&source=gbs_api,2017
